,title,number_of_ratings,year_of_release,rating,director
0,Rita Hayworth - Avain pakoon,2734734,1994,9.2,Frank Darabont
1,Kummisetä,1901690,1972,9.2,Francis Ford Coppola
2,Yön ritari,2707851,2008,9.0,Christopher Nolan
3,Kummisetä osa II,1296422,1974,9.0,Francis Ford Coppola
4,Valamiesten ratkaisu,809307,1957,9.0,Sidney Lumet
5,Schindlerin lista,1380580,1993,8.9,Steven Spielberg
6,Taru sormusten herrasta: Kuninkaan paluu,1881049,2003,8.9,Peter Jackson
7,Pulp Fiction: Tarinoita väkivallasta,2101488,1994,8.8,Quentin Tarantino
8,Taru sormusten herrasta: Sormuksen ritarit,1909895,2001,8.8,Peter Jackson
9,"Hyvät, pahat ja rumat",774872,1966,8.8,Sergio Leone
10,Forrest Gump,2128034,1994,8.8,Robert Zemeckis
11,Fight Club,2177292,1999,8.7,David Fincher
12,Taru sormusten herrasta: Kaksi tornia,1698075,2002,8.7,Peter Jackson
13,Inception,2403698,2010,8.7,Christopher Nolan
14,Imperiumin vastaisku,1316425,1980,8.7,Irvin Kershner
15,Matrix,1950948,1999,8.7,Lana Wachowski
16,Mafiaveljet,1187005,1990,8.7,Martin Scorsese
17,Yksi lensi yli käenpesän,1025598,1975,8.6,Milos Forman
18,Seitsemän,1690699,1995,8.6,David Fincher
19,Ihmeellinen on elämä,470759,1946,8.6,Frank Capra
20,7 samuraita,351789,1954,8.6,Akira Kurosawa
21,Uhrilampaat,1462294,1991,8.6,Jonathan Demme
22,Pelastakaa sotamies Ryan,1418652,1998,8.6,Steven Spielberg
23,City of God,768728,2002,8.6,Fernando Meirelles
24,Interstellar,1898463,2014,8.6,Christopher Nolan
25,Kaunis elämä,708910,1997,8.6,Roberto Benigni
26,Vihreä maili,1329839,1999,8.6,Frank Darabont
27,Tähtien sota,1388848,1977,8.5,George Lucas
28,Terminator 2 - Tuomion päivä,1119512,1991,8.5,James Cameron
29,Paluu tulevaisuuteen,1233408,1985,8.5,Robert Zemeckis
30,Henkien kätkemä,785732,2001,8.5,Hayao Miyazaki
31,Pianisti,852356,2002,8.5,Roman Polanski
32,Psyko,685270,1960,8.5,Alfred Hitchcock
33,Parasite,847585,2019,8.5,Bong Joon Ho
34,Leon,1184878,1994,8.5,Luc Besson
35,Gladiator,1530624,2000,8.5,Ridley Scott
36,The Lion King,1081006,1994,8.5,Roger Allers
37,American History X,1140296,1998,8.5,Tony Kaye
38,The Departed,1351410,2006,8.5,Martin Scorsese
39,Whiplash,898677,2014,8.5,Damien Chazelle
40,The Prestige,1359740,2006,8.5,Christopher Nolan
41,Epäillyt,1101545,1995,8.5,Bryan Singer
42,Casablanca,581837,1942,8.5,Michael Curtiz
43,Tulikärpästen hauta,285878,1988,8.5,Isao Takahata
44,Harakiri,60502,1962,8.5,Masaki Kobayashi
45,Koskemattomat,878258,2011,8.5,Olivier Nakache
46,Nykyaika,247533,1936,8.4,Charles Chaplin
47,Once Upon a Time in the West,336117,1968,8.4,Sergio Leone
48,Cinema Paradiso,267407,1988,8.4,Giuseppe Tornatore
49,Takaikkuna,500470,1954,8.4,Alfred Hitchcock
50,Alien - kahdeksas matkustaja,900284,1979,8.4,Ridley Scott
51,Kaupungin valot,188038,1931,8.4,Charles Chaplin
52,Ilmestyskirja. Nyt.,680185,1979,8.4,Francis Ford Coppola
53,Memento,1259759,2000,8.4,Christopher Nolan
54,Django Unchained,1592861,2012,8.4,Quentin Tarantino
55,Kadonneen aarteen metsästäjät,983239,1981,8.4,Steven Spielberg
56,WALL·E,1138738,2008,8.4,Andrew Stanton
57,Muiden elämä,395723,2006,8.4,Florian Henckel von Donnersmarck
58,Auringonlaskun katu,226211,1950,8.4,Billy Wilder
59,Kunnian polut,201635,1957,8.4,Stanley Kubrick
60,The Shining - hohto,1045199,1980,8.4,Stanley Kubrick
61,Diktaattori,228046,1940,8.4,Charles Chaplin
